timestamp,frame,event_type,event_id,track_id,bbox_left,bbox_right,bbox_top,bbox_bottom,cx,cy,angle,crop_filename
2025-04-14 18:15:30.057,12,detection,0,1,1234,1327,1124,1173,1280.5,1148.5,0,T0001_F0012.jpg
2025-04-14 18:15:30.057,12,detection,1,5,1388,1435,1536,1605,1411.5,1570.5,0,T0005_F0012.jpg
2025-04-14 18:15:30.057,12,detection,2,6,2745,2789,720,794,2767.0,757.0,0,T0006_F0012.jpg
2025-04-14 18:15:30.057,12,detection,3,10,1333,1390,1552,1639,1361.5,1595.5,0,T0010_F0012.jpg
2025-04-14 18:15:30.057,12,detection,4,14,249,297,1118,1202,273.0,1160.0,0,T0014_F0012.jpg
2025-04-14 18:15:30.057,12,detection,5,4,206,292,26,70,249.0,48.0,0,T0004_F0012.jpg
2025-04-14 18:15:30.057,12,detection,6,8,1792,1840,995,1079,1816.0,1037.0,0,T0008_F0012.jpg
2025-04-14 18:15:30.057,12,detection,7,2,121,215,2153,2197,168.0,2175.0,0,T0002_F0012.jpg
2025-04-14 18:15:30.057,12,detection,8,12,466,545,1117,1163,505.5,1140.0,0,T0012_F0012.jpg
2025-04-14 18:15:30.057,12,detection,9,9,1801,1841,749,796,1821.0,772.5,0,T0009_F0012.jpg
2025-04-14 18:15:30.057,12,detection,10,13,1725,1775,535,613,1750.0,574.0,0,T0013_F0012.jpg
2025-04-14 18:15:30.057,12,detection,12,11,692,771,75,122,731.5,98.5,0,T0011_F0012.jpg
2025-04-14 18:15:30.057,12,detection,13,7,237,303,85,167,270.0,126.0,0,T0007_F0012.jpg
2025-04-14 18:15:30.057,12,detection,15,15,2249,2317,2584,2638,2283.0,2611.0,0,T0015_F0012.jpg
2025-04-14 18:15:30.065,13,detection,16,4,205,296,25,71,250.5,48.0,0,T0004_F0013.jpg
2025-04-14 18:15:30.065,13,detection,17,1,1232,1324,1123,1174,1278.0,1148.5,0,T0001_F0013.jpg
2025-04-14 18:15:30.065,13,detection,18,2,120,215,2153,2198,167.5,2175.5,0,T0002_F0013.jpg
2025-04-14 18:15:30.065,13,detection,20,5,1389,1436,1541,1607,1412.5,1574.0,0,T0005_F0013.jpg
2025-04-14 18:15:30.065,13,detection,21,9,1800,1841,748,794,1820.5,771.0,0,T0009_F0013.jpg
2025-04-14 18:15:30.065,13,detection,22,7,236,301,82,166,268.5,124.0,0,T0007_F0013.jpg
2025-04-14 18:15:30.065,13,detection,23,6,2740,2786,714,783,2763.0,748.5,0,T0006_F0013.jpg
2025-04-14 18:15:30.065,13,detection,24,8,1797,1840,994,1077,1818.5,1035.5,0,T0008_F0013.jpg
2025-04-14 18:15:30.065,13,detection,25,10,1332,1390,1552,1637,1361.0,1594.5,0,T0010_F0013.jpg
2025-04-14 18:15:30.065,13,detection,26,13,1726,1776,534,614,1751.0,574.0,0,T0013_F0013.jpg
2025-04-14 18:15:30.065,13,detection,27,14,249,298,1118,1202,273.5,1160.0,0,T0014_F0013.jpg
2025-04-14 18:15:30.065,13,detection,28,12,467,544,1118,1165,505.5,1141.5,0,T0012_F0013.jpg
2025-04-14 18:15:30.065,13,detection,29,16,1679,1735,957,1000,1707.0,978.5,0,T0016_F0013.jpg
2025-04-14 18:15:30.065,13,detection,30,11,692,771,74,123,731.5,98.5,0,T0011_F0013.jpg
2025-04-14 18:15:30.065,13,detection,32,15,2252,2318,2580,2638,2285.0,2609.0,0,T0015_F0013.jpg
2025-04-14 18:15:30.249,14,detection,33,1,1231,1323,1122,1174,1277.0,1148.0,0,T0001_F0014.jpg
2025-04-14 18:15:30.249,14,detection,34,4,205,297,25,71,251.0,48.0,0,T0004_F0014.jpg
2025-04-14 18:15:30.249,14,detection,35,2,121,216,2153,2199,168.5,2176.0,0,T0002_F0014.jpg
2025-04-14 18:15:30.249,14,detection,36,7,238,299,79,165,268.5,122.0,0,T0007_F0014.jpg
2025-04-14 18:15:30.249,14,detection,37,5,1387,1435,1545,1608,1411.0,1576.5,0,T0005_F0014.jpg
2025-04-14 18:15:30.249,14,detection,38,13,1728,1777,534,616,1752.5,575.0,0,T0013_F0014.jpg
2025-04-14 18:15:30.249,14,detection,39,14,248,298,1118,1202,273.0,1160.0,0,T0014_F0014.jpg
2025-04-14 18:15:30.249,14,detection,40,8,1792,1837,999,1081,1814.5,1040.0,0,T0008_F0014.jpg
2025-04-14 18:15:30.249,14,detection,41,12,467,543,1117,1166,505.0,1141.5,0,T0012_F0014.jpg
2025-04-14 18:15:30.249,14,detection,42,9,1797,1841,748,793,1819.0,770.5,0,T0009_F0014.jpg
2025-04-14 18:15:30.249,14,detection,43,6,2733,2782,714,780,2757.5,747.0,0,T0006_F0014.jpg
2025-04-14 18:15:30.249,14,detection,44,16,1670,1734,958,1000,1702.0,979.0,0,T0016_F0014.jpg
2025-04-14 18:15:30.249,14,detection,45,11,694,774,73,122,734.0,97.5,0,T0011_F0014.jpg
2025-04-14 18:15:30.249,14,detection,47,10,1331,1390,1550,1634,1360.5,1592.0,0,T0010_F0014.jpg
2025-04-14 18:15:30.249,14,detection,49,15,2252,2317,2579,2640,2284.5,2609.5,0,T0015_F0014.jpg
2025-04-14 18:15:30.711,15,detection,50,2,130,223,2156,2205,176.5,2180.5,0,T0002_F0015.jpg
2025-04-14 18:15:30.711,15,detection,51,16,1688,1741,956,996,1714.5,976.0,0,T0016_F0015.jpg
2025-04-14 18:15:30.711,15,detection,52,1,1230,1317,1121,1177,1273.5,1149.0,0,T0001_F0015.jpg
2025-04-14 18:15:30.711,15,detection,53,8,1776,1834,1008,1086,1805.0,1047.0,0,T0008_F0015.jpg
2025-04-14 18:15:30.711,15,detection,54,12,468,544,1116,1166,506.0,1141.0,0,T0012_F0015.jpg
2025-04-14 18:15:30.711,15,detection,55,7,239,298,70,158,268.5,114.0,0,T0007_F0015.jpg
2025-04-14 18:15:30.711,15,detection,56,11,696,776,65,122,736.0,93.5,0,T0011_F0015.jpg
2025-04-14 18:15:30.711,15,detection,57,9,1798,1841,747,792,1819.5,769.5,0,T0009_F0015.jpg
2025-04-14 18:15:30.711,15,detection,58,14,254,300,1100,1186,277.0,1143.0,0,T0014_F0015.jpg
2025-04-14 18:15:30.711,15,detection,59,5,1365,1423,1538,1598,1394.0,1568.0,0,T0005_F0015.jpg
